seq,n_ann,duration_s,ann_per_s,mean_area_pct,tiny_pct,small_pct,medium_pct,cx_std,cy_std,spatial_spread,split,train_score,val_score
sequence_47,5066,107.9,47.0,0.3232,61.8,36.1,2.1,0.263,0.167,0.431,train,1.0,0.585
sequence_44,2925,101.4,28.9,0.2989,67.6,30.2,2.2,0.283,0.145,0.428,train,0.99,0.556
sequence_45,4989,106.3,46.9,0.2474,74.0,25.8,0.2,0.261,0.167,0.428,train,0.973,0.528
sequence_46,5073,106.3,47.7,0.2927,71.5,27.0,1.5,0.237,0.143,0.381,test,0.971,0.562
sequence_20,2993,104.2,28.7,0.3552,59.3,37.6,3.2,0.253,0.111,0.364,test,0.963,0.608
sequence_106,4136,97.2,42.5,0.3104,66.5,31.3,2.2,0.204,0.154,0.357,train,0.957,0.575
sequence_60,3792,105.6,35.9,0.25,75.8,24.2,0.1,0.21,0.184,0.394,test,0.956,0.53
sequence_18,2644,105.6,25.0,0.4231,49.8,46.7,3.5,0.261,0.149,0.409,train,0.953,0.629
sequence_36,4870,108.6,44.9,0.4919,52.9,36.0,11.1,0.215,0.126,0.342,train,0.942,0.7
sequence_198,2930,113.8,25.7,0.3011,59.2,39.8,1.0,0.186,0.154,0.341,train,0.932,0.559
sequence_34,5529,108.7,50.8,0.4341,46.9,45.8,7.3,0.203,0.124,0.327,test,0.927,0.693
sequence_19,2810,100.9,27.9,0.3936,55.6,39.5,4.8,0.211,0.136,0.347,train,0.922,0.612
sequence_7,3052,105.0,29.1,0.2453,77.8,22.1,0.1,0.253,0.121,0.374,train,0.922,0.526
sequence_201,2846,95.4,29.8,0.3245,54.6,44.8,0.6,0.218,0.12,0.338,train,0.917,0.565
sequence_215,5790,118.2,49.0,0.6612,24.1,64.8,11.1,0.194,0.122,0.316,train,0.916,0.7
sequence_15,2636,102.7,25.7,0.3263,72.6,25.1,2.3,0.263,0.117,0.379,train,0.913,0.539
