epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,811.145,2.48112,2.55407,1.21556,0.86935,0.5811,0.68877,0.31168,1.45284,1.44281,0.72008,0.00333248,0.00333248,0.0700077
2,1579.89,2.10268,1.48674,1.06226,0.83019,0.65408,0.72794,0.34764,1.4228,1.28663,0.71049,0.00659982,0.00659982,0.0399417
3,2346.9,2.10839,1.47501,1.07297,0.83739,0.66334,0.71947,0.31175,1.52976,1.19808,0.74828,0.00980117,0.00980117,0.00980968
4,3103.29,2.05064,1.39344,1.05894,0.94153,0.66875,0.76314,0.37668,1.43028,1.14295,0.71678,0.009703,0.009703,0.009703
5,3851.64,1.94413,1.2213,1.02993,0.95346,0.70714,0.79152,0.39466,1.36106,1.17776,0.70009,0.009604,0.009604,0.009604
6,4602.94,1.85395,1.12023,1.0035,0.92488,0.65891,0.76837,0.38558,1.30629,1.19351,0.68279,0.009505,0.009505,0.009505
7,5352.8,1.81801,1.07571,0.99449,0.90735,0.70501,0.78824,0.39779,1.36931,1.12939,0.69048,0.009406,0.009406,0.009406
8,6105.88,1.77686,1.02108,0.98147,0.95632,0.67931,0.78333,0.39149,1.35636,1.24266,0.68671,0.009307,0.009307,0.009307
9,6863.49,1.74543,0.98954,0.97534,0.92849,0.69342,0.77243,0.38182,1.41932,1.36121,0.71123,0.009208,0.009208,0.009208
10,7609.03,3.32911,58.7884,4.01676,0.00471,0.00293,0.0002,3e-05,3.74206,4.16378,4.51041,0.009109,0.009109,0.009109
11,8361,4.98647,6.05633,8.19841,4e-05,0.00067,0,0,3.83325,3.71594,7.50751,0.00901,0.00901,0.00901
12,9127.35,5.01947,6.04887,7.9163,3e-05,0.00067,0,0,3.73252,3.7568,7.29922,0.008911,0.008911,0.008911
13,9883.42,5.0653,5.97964,7.53936,1e-05,0.00027,0,0,3.72374,3.75513,7.14321,0.008812,0.008812,0.008812
14,10638,5.14442,5.9741,7.36649,1e-05,0.00027,0,0,3.74363,3.73536,7.0336,0.008713,0.008713,0.008713
15,11388.4,5.18985,5.94157,7.08582,1e-05,0.00013,0,0,3.76678,3.71538,6.92232,0.008614,0.008614,0.008614
16,12135.7,5.18946,5.89516,6.70135,1e-05,0.00013,0,0,3.78981,3.70733,6.83305,0.008515,0.008515,0.008515
17,12894.7,5.22064,5.84488,6.3959,3e-05,0.0004,0,0,3.8081,3.69854,6.74816,0.008416,0.008416,0.008416
18,13644.5,5.27044,5.79335,6.12001,5e-05,0.00053,0,0,3.82585,3.70154,6.6624,0.008317,0.008317,0.008317
19,14394,5.27575,5.80212,5.85136,5e-05,0.0004,0,0,3.83883,3.71806,6.5577,0.008218,0.008218,0.008218
20,15142.6,5.30698,5.77447,5.64487,0.0001,0.00053,0,0,3.83392,3.74114,6.42978,0.008119,0.008119,0.008119
21,15891,5.33679,5.7621,5.43858,0,0,0,0,3.82243,3.77915,6.27754,0.00802,0.00802,0.00802
22,16640.4,5.333,5.69417,5.1752,0,0,0,0,3.80759,3.84781,6.10025,0.007921,0.007921,0.007921
23,17398,5.37869,5.71122,5.01125,0,0,0,0,3.75858,3.91224,5.86158,0.007822,0.007822,0.007822
24,18145.4,5.38747,5.71138,4.81354,0,0,0,0,3.6653,3.94642,5.55456,0.007723,0.007723,0.007723
25,18891,5.39805,5.69004,4.64548,0,0,0,0,3.50678,3.92177,5.16697,0.007624,0.007624,0.007624
26,19637.2,5.40477,5.66967,4.45497,0,0,0,0,3.31403,3.84496,4.74102,0.007525,0.007525,0.007525
27,20391.3,5.39499,5.63595,4.26274,0,0,0,0,3.01381,3.63125,4.19128,0.007426,0.007426,0.007426
