event_t,rgb_t,iou_t,alpha,weighted_box,map50
0.3,0.5,0.5,max,True,0.5726
0.1,0.5,0.5,max,True,0.5726
0.2,0.5,0.5,max,True,0.5726
0.1,0.5,0.4,max,True,0.5721
0.3,0.5,0.4,max,True,0.5721
0.2,0.5,0.4,max,True,0.5721
0.2,0.4,0.5,max,True,0.5719
0.3,0.4,0.5,max,True,0.5719
0.1,0.4,0.5,max,True,0.5719
0.3,0.4,0.4,max,True,0.5715
0.2,0.4,0.4,max,True,0.5715
0.1,0.4,0.4,max,True,0.5715
0.1,0.2,0.5,max,True,0.571
0.3,0.3,0.5,max,True,0.571
0.2,0.5,0.3,max,False,0.571
0.1,0.3,0.5,max,True,0.571
0.1,0.5,0.3,max,False,0.571
0.3,0.1,0.5,max,True,0.571
0.3,0.2,0.5,max,True,0.571
0.2,0.3,0.5,max,True,0.571
0.2,0.1,0.5,max,True,0.571
0.1,0.1,0.5,max,True,0.571
0.2,0.2,0.5,max,True,0.571
0.1,0.5,0.4,max,False,0.5709
0.2,0.5,0.4,max,False,0.5709
0.1,0.5,0.5,max,False,0.5708
0.3,0.5,0.3,max,False,0.5708
0.2,0.5,0.5,max,False,0.5708
0.1,0.5,0.6,max,True,0.5707
0.1,0.5,0.6,max,False,0.5707
0.2,0.5,0.6,max,True,0.5707
0.2,0.5,0.6,max,False,0.5707
0.3,0.3,0.4,max,True,0.5706
0.1,0.3,0.4,max,True,0.5706
0.1,0.5,0.7,max,False,0.5706
0.1,0.2,0.4,max,True,0.5706
0.3,0.5,0.3,max,True,0.5706
0.2,0.1,0.4,max,True,0.5706
0.2,0.3,0.4,max,True,0.5706
0.2,0.5,0.7,max,False,0.5706
0.3,0.5,0.6,max,True,0.5706
0.1,0.1,0.4,max,True,0.5706
0.2,0.2,0.4,max,True,0.5706
0.3,0.2,0.4,max,True,0.5706
0.3,0.1,0.4,max,True,0.5706
0.1,0.4,0.3,max,False,0.5705
0.1,0.5,0.3,max,True,0.5705
0.2,0.4,0.3,max,False,0.5705
0.2,0.5,0.3,max,True,0.5705
0.3,0.5,0.4,max,False,0.5704
0.2,0.4,0.4,max,False,0.5704
0.1,0.4,0.4,max,False,0.5704
0.2,0.5,0.7,max,True,0.5703
0.1,0.5,0.7,max,True,0.5703
0.3,0.4,0.3,max,False,0.5702
0.3,0.4,0.3,max,True,0.5701
0.1,0.4,0.5,max,False,0.57
0.2,0.4,0.3,max,True,0.57
0.1,0.4,0.3,max,True,0.57
0.2,0.4,0.5,max,False,0.57
0.3,0.4,0.4,max,False,0.5698
0.3,0.4,0.5,max,False,0.5697
0.3,0.4,0.6,max,True,0.5696
0.2,0.4,0.6,max,True,0.5696
0.1,0.4,0.6,max,False,0.5696
0.1,0.4,0.6,max,True,0.5696
0.2,0.4,0.6,max,False,0.5696
0.1,0.3,0.3,max,False,0.5695
0.2,0.3,0.3,max,False,0.5695
0.3,0.4,0.6,max,False,0.5695
0.3,0.3,0.3,max,False,0.5695
0.2,0.1,0.3,max,False,0.5694
0.1,0.2,0.3,max,False,0.5694
0.2,0.2,0.3,max,False,0.5694
0.1,0.1,0.3,max,False,0.5694
0.2,0.3,0.4,max,False,0.5693
0.3,0.1,0.3,max,False,0.5693
0.3,0.2,0.3,max,False,0.5693
0.1,0.3,0.4,max,False,0.5693
0.2,0.2,0.4,max,False,0.5691
0.1,0.1,0.4,max,False,0.5691
0.2,0.1,0.4,max,False,0.5691
0.1,0.2,0.4,max,False,0.5691
0.3,0.3,0.4,max,False,0.5691
0.2,0.3,0.3,max,True,0.569
0.2,0.2,0.3,max,True,0.569
0.1,0.1,0.3,max,True,0.569
0.1,0.3,0.3,max,True,0.569
0.3,0.3,0.3,max,True,0.569
0.3,0.2,0.3,max,True,0.569
0.3,0.1,0.3,max,True,0.569
0.1,0.4,0.7,max,False,0.569
0.1,0.2,0.3,max,True,0.569
0.2,0.1,0.3,max,True,0.569
0.2,0.4,0.7,max,False,0.569
0.3,0.2,0.4,max,False,0.5689
0.3,0.1,0.5,max,False,0.5689
0.3,0.1,0.4,max,False,0.5689
0.1,0.1,0.5,max,False,0.5689
0.2,0.2,0.5,max,False,0.5689
0.3,0.3,0.5,max,False,0.5689
0.3,0.2,0.5,max,False,0.5689
0.1,0.3,0.5,max,False,0.5689
0.1,0.2,0.5,max,False,0.5689
0.2,0.1,0.5,max,False,0.5689
0.2,0.3,0.5,max,False,0.5689
0.2,0.4,0.7,max,True,0.5688
0.1,0.4,0.7,max,True,0.5688
0.3,0.4,0.7,max,True,0.5687
0.2,0.3,0.6,max,False,0.5686
0.2,0.3,0.6,max,True,0.5686
0.1,0.2,0.6,max,False,0.5686
